Date,Sector_Name,Close
20250320,塑膠化工類指數,637.31
20250320,塑膠類指數,118.98
20250320,寶島股價指數,25334.68
20250320,小型股300指數,11485.63
20250320,居家生活類指數,123.62
20250320,建材營造類指數,564.71
20250320,數位雲端類指數,62.79
20250320,未含金融指數,19430.57
20250320,未含金融電子指數,14874.57
20250320,未含電子指數,19773.73
20250320,機電類指數,6746.88
20250320,橡膠類指數,270.76
20250320,水泥窯製類指數,616.36
20250320,水泥類指數,162.38
20250320,汽車類指數,385.97
20250320,油電燃氣類指數,59.02
20250320,玻璃陶瓷類指數,48.35
20250320,生技醫療類指數,76.99
20250320,發行量加權股價指數,22377.26
20250320,紡織纖維類指數,613.41
20250320,綠能環保類指數,110.49
20250320,臺指反向一倍指數,2864.82
20250320,臺指日報酬兩倍指數,58731.7
20250320,臺灣50指數,18458.44
20250320,臺灣50權重上限30%指數,16073.69
20250320,臺灣中型100指數,19466.96
20250320,臺灣公司治理100指數,13169.48
20250320,臺灣就業99指數,13418.66
20250320,臺灣發達指數,10032.84
20250320,臺灣資訊科技指數,36501.5
20250320,臺灣高股息指數,9523.55
20250320,臺灣高薪100指數,12082.78
20250320,航運類指數,208.91
20250320,觀光餐旅類指數,120.15
20250320,貿易百貨類指數,275.37
20250320,資訊服務類指數,236.2
20250320,通信網路類指數,168.37
20250320,造紙類指數,287.21
20250320,運動休閒類指數,96.45
20250320,金融保險類指數,2149.42
20250320,鋼鐵類指數,144.68
20250320,電器電纜類指數,95.75
20250320,電子工業類指數,1210.14
20250320,電子通路類指數,243.35
20250320,電子零組件類指數,230.65
20250320,電子類兩倍槓桿指數,72536.59
20250320,電子類反向指數,2139.25
20250320,電機機械類指數,391.96
20250320,電腦及週邊設備類指數,264.13
20250320,食品類指數,2147.27
20250319,光電類指數,39.97
20250319,其他電子類指數,153.43
20250319,其他類指數,323.45
20250319,化學生技醫療類指數,138.19
20250319,化學類指數,168.77
20250319,半導體類指數,596.34
20250319,塑膠化工類指數,631.15
20250319,塑膠類指數,117.27
20250319,寶島股價指數,24870.88
20250319,小型股300指數,11348.31
20250319,居家生活類指數,123.03
20250319,建材營造類指數,557.15
20250319,數位雲端類指數,61.99
20250319,未含金融指數,19033.93
20250319,未含金融電子指數,14758.41
20250319,未含電子指數,19645.25
20250319,機電類指數,6587.86
20250319,橡膠類指數,272.25
20250319,水泥窯製類指數,614.56
20250319,水泥類指數,161.74
20250319,汽車類指數,380.06
